ant_nb,trial_nb,state_int,next_state_int,action,action_int,reached_goal
1,0,29,30,"(1, 0)",0,False
1,0,30,54,"(1, 1)",7,False
1,0,54,55,"(1, 0)",0,False
1,0,55,78,"(0, 1)",1,False
1,0,78,102,"(1, 1)",7,False
1,0,102,125,"(0, 1)",1,False
1,0,125,148,"(0, 1)",1,False
1,0,148,171,"(0, 1)",1,False
1,0,171,194,"(0, 1)",1,False
1,0,194,218,"(1, 1)",7,False
1,0,218,241,"(0, 1)",1,False
1,0,241,264,"(0, 1)",1,False
1,0,264,288,"(1, 1)",7,False
1,0,288,311,"(0, 1)",1,False
1,0,311,334,"(0, 1)",1,False
1,0,334,357,"(0, 1)",1,False
1,0,357,380,"(0, 1)",1,False
1,0,380,403,"(0, 1)",1,False
1,0,403,426,"(0, 1)",1,False
1,0,426,449,"(0, 1)",1,False
1,0,449,472,"(0, 1)",1,False
1,0,472,495,"(0, 1)",1,False
1,0,495,518,"(0, 1)",1,False
1,0,518,541,"(0, 1)",1,False
1,0,541,564,"(0, 1)",1,False
1,0,564,587,"(0, 1)",1,False
1,0,587,610,"(0, 1)",1,False
1,0,610,633,"(0, 1)",1,False
1,0,633,656,"(0, 1)",1,False
1,0,656,679,"(0, 1)",1,False
1,0,679,702,"(0, 1)",1,False
1,0,702,725,"(0, 1)",1,False
1,0,725,748,"(0, 1)",1,False
1,0,748,771,"(0, 1)",1,False
1,0,771,794,"(0, 1)",1,False
1,0,794,817,"(0, 1)",1,False
1,0,817,840,"(0, 1)",1,False
1,0,840,863,"(0, 1)",1,False
1,0,863,886,"(0, 1)",1,False
1,0,886,909,"(0, 1)",1,False
1,0,909,932,"(0, 1)",1,False
1,0,932,955,"(0, 1)",1,False
1,0,955,978,"(0, 1)",1,False
1,0,978,1001,"(0, 1)",1,False
1,0,1001,1024,"(0, 1)",1,False
1,0,1024,1047,"(0, 1)",1,False
1,0,1047,1070,"(0, 1)",1,False
1,0,1070,1093,"(0, 1)",1,False
1,0,1093,1116,"(0, 1)",1,False
1,0,1116,1139,"(0, 1)",1,False
1,0,1139,1162,"(0, 1)",1,False
1,0,1162,1184,"(-1, 1)",5,False
1,0,1184,1206,"(-1, 1)",5,True
2,0,7,31,"(1, 1)",7,False
2,0,31,54,"(0, 1)",1,False
2,0,54,78,"(1, 1)",7,False
2,0,78,101,"(0, 1)",1,False
2,0,101,124,"(0, 1)",1,False
2,0,124,148,"(1, 1)",7,False
2,0,148,171,"(0, 1)",1,False
2,0,171,194,"(0, 1)",1,False
2,0,194,217,"(0, 1)",1,False
2,0,217,240,"(0, 1)",1,False
2,0,240,263,"(0, 1)",1,False
2,0,263,286,"(0, 1)",1,False
2,0,286,309,"(0, 1)",1,False
2,0,309,333,"(1, 1)",7,False
2,0,333,356,"(0, 1)",1,False
2,0,356,379,"(0, 1)",1,False
2,0,379,402,"(0, 1)",1,False
2,0,402,425,"(0, 1)",1,False
2,0,425,448,"(0, 1)",1,False
2,0,448,471,"(0, 1)",1,False
2,0,471,493,"(-1, 1)",5,False
2,0,493,516,"(0, 1)",1,False
2,0,516,539,"(0, 1)",1,False
2,0,539,562,"(0, 1)",1,False
2,0,562,585,"(0, 1)",1,False
2,0,585,607,"(-1, 1)",5,False
2,0,607,630,"(0, 1)",1,False
2,0,630,652,"(-1, 1)",5,False
2,0,652,674,"(-1, 1)",5,False
2,0,674,696,"(-1, 1)",5,False
2,0,696,719,"(0, 1)",1,False
2,0,719,742,"(0, 1)",1,False
2,0,742,765,"(0, 1)",1,False
2,0,765,788,"(0, 1)",1,False
2,0,788,811,"(0, 1)",1,False
2,0,811,835,"(1, 1)",7,False
2,0,835,858,"(0, 1)",1,False
2,0,858,882,"(1, 1)",7,False
2,0,882,905,"(0, 1)",1,False
2,0,905,929,"(1, 1)",7,False
2,0,929,952,"(0, 1)",1,False
2,0,952,975,"(0, 1)",1,False
2,0,975,998,"(0, 1)",1,False
2,0,998,1021,"(0, 1)",1,False
2,0,1021,1043,"(-1, 1)",5,False
2,0,1043,1065,"(-1, 1)",5,False
2,0,1065,1088,"(0, 1)",1,False
2,0,1088,1111,"(0, 1)",1,False
2,0,1111,1134,"(0, 1)",1,False
2,0,1134,1156,"(-1, 1)",5,False
2,0,1156,1179,"(0, 1)",1,False
2,0,1179,1180,"(1, 0)",0,False
2,0,1180,1181,"(1, 0)",0,False
2,0,1181,1205,"(1, 1)",7,False
2,0,1205,1206,"(1, 0)",0,True
3,0,29,52,"(0, 1)",1,False
3,0,52,75,"(0, 1)",1,False
3,0,75,99,"(1, 1)",7,False
3,0,99,123,"(1, 1)",7,False
3,0,123,146,"(0, 1)",1,False
3,0,146,169,"(0, 1)",1,False
3,0,169,192,"(0, 1)",1,False
3,0,192,216,"(1, 1)",7,False
3,0,216,239,"(0, 1)",1,False
3,0,239,262,"(0, 1)",1,False
3,0,262,285,"(0, 1)",1,False
3,0,285,308,"(0, 1)",1,False
3,0,308,331,"(0, 1)",1,False
3,0,331,354,"(0, 1)",1,False
3,0,354,377,"(0, 1)",1,False
3,0,377,400,"(0, 1)",1,False
3,0,400,423,"(0, 1)",1,False
3,0,423,446,"(0, 1)",1,False
3,0,446,469,"(0, 1)",1,False
3,0,469,492,"(0, 1)",1,False
3,0,492,515,"(0, 1)",1,False
3,0,515,539,"(1, 1)",7,False
3,0,539,562,"(0, 1)",1,False
3,0,562,585,"(0, 1)",1,False
3,0,585,608,"(0, 1)",1,False
3,0,608,630,"(-1, 1)",5,False
3,0,630,653,"(0, 1)",1,False
3,0,653,675,"(-1, 1)",5,False
